player,dpoy_count,league
Rudy Gobert,4,NBA
Dikembe Mutombo,4,NBA
Ben Wallace,4,NBA
Dwight Howard,3,NBA
Mark Eaton,2,NBA
Kawhi Leonard,2,NBA
Sidney Moncrief,2,NBA
Alonzo Mourning,2,NBA
Hakeem Olajuwon,2,NBA
Dennis Rodman,2,NBA
Giannis Antetokounmpo,1,NBA
Marcus Camby,1,NBA
Tyson Chandler,1,NBA
Michael Cooper,1,NBA
Kevin Garnett,1,NBA
Marc Gasol,1,NBA
Draymond Green,1,NBA
Jaren Jackson Jr.,1,NBA
Michael Jordan,1,NBA
Evan Mobley,1,NBA
Joakim Noah,1,NBA
Gary Payton,1,NBA
Alvin Robertson,1,NBA
David Robinson,1,NBA
Marcus Smart,1,NBA
Metta World Peace,1,NBA
