player,mvp_count,league
Kareem Abdul-Jabbar,6,NBA
Michael Jordan,5,NBA
Bill Russell,5,NBA
Wilt Chamberlain,4,NBA
LeBron James,4,NBA
Larry Bird,3,NBA
Julius Erving,3,ABA
Magic Johnson,3,NBA
Nikola Jokić,3,NBA
Moses Malone,3,NBA
Giannis Antetokounmpo,2,NBA
Stephen Curry,2,NBA
Mel Daniels,2,ABA
Tim Duncan,2,NBA
Karl Malone,2,NBA
Steve Nash,2,NBA
Bob Pettit,2,NBA
Charles Barkley,1,NBA
Kobe Bryant,1,NBA
Bob Cousy,1,NBA
Dave Cowens,1,NBA
Billy Cunningham,1,ABA
Kevin Durant,1,NBA
Joel Embiid,1,NBA
Kevin Garnett,1,NBA
Artis Gilmore,1,ABA
James Harden,1,NBA
Connie Hawkins,1,ABA
Spencer Haywood,1,ABA
Allen Iverson,1,NBA
Bob McAdoo,1,NBA
George McGinnis,1,ABA
Dirk Nowitzki,1,NBA
Shaquille O'Neal,1,NBA
Hakeem Olajuwon,1,NBA
Willis Reed,1,NBA
Oscar Robertson,1,NBA
David Robinson,1,NBA
Derrick Rose,1,NBA
Wes Unseld,1,NBA
Bill Walton,1,NBA
Russell Westbrook,1,NBA
