name,games,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,id
Alaa Abdelnaby,256,13.0,0.532,0.002,0.26,10.0,19.6,14.8,4.1,1.1,1.4,15.2,21.6,0.7,4.1,4.8,0.072,-2.9,-0.9,-3.8,-1.5,1
Zaid Abdul-Aziz,505,15.1,0.479,,0.338,12.1,26.9,18.3,7.3,1.3,2.5,16.6,21.1,5.9,11.6,17.5,0.076,0.6,-0.2,0.4,2.7,2
Kareem Abdul-Jabbar,1560,24.6,0.592,0.001,0.329,7.7,21.7,15.7,14.6,1.2,3.8,13.4,24.3,178.9,94.5,273.4,0.228,4.1,1.6,5.7,85.7,3
Mahmoud Abdul-Rauf,586,15.4,0.506,0.169,0.146,1.5,6.2,3.8,23.0,1.6,0.2,10.2,25.4,16.7,8.4,25.2,0.077,0.7,-1.5,-0.8,4.5,4
Tariq Abdul-Wahad,236,11.4,0.467,0.044,0.306,6.4,11.2,8.8,8.8,1.9,1.2,13.6,20.4,-0.6,4.1,3.5,0.035,-2.6,-0.4,-3.0,-1.2,5
Shareef Abdur-Rahim,830,19.0,0.549,0.045,0.429,7.5,17.5,12.5,13.6,1.5,1.6,13.5,25.0,50.1,21.1,71.2,0.118,1.7,-0.7,1.0,21.9,6
Tom Abernethy,319,12.9,0.534,0.001,0.301,7.3,12.3,9.8,9.0,1.6,0.6,9.3,13.7,8.4,5.0,13.4,0.118,0.0,0.1,0.2,3.0,7
Precious Achiuwa,320,14.0,0.533,0.196,0.269,10.5,21.6,15.9,7.0,1.4,3.1,12.1,17.5,3.4,8.4,11.8,0.089,-2.0,-0.3,-2.3,-0.4,8
Mark Acres,375,9.0,0.551,0.013,0.456,10.7,17.6,14.1,3.8,1.1,1.0,16.2,10.0,5.1,4.2,9.3,0.075,-2.9,-0.4,-3.3,-1.9,9
Quincy Acy,337,11.2,0.553,0.398,0.294,6.3,18.1,12.1,6.1,1.3,2.0,12.9,13.9,4.4,4.4,8.7,0.078,-2.0,-0.1,-2.0,-0.1,10
Alvan Adams,988,18.3,0.541,0.001,0.276,8.3,19.7,14.1,21.4,2.2,1.6,17.8,22.0,29.8,43.6,73.5,0.13,1.3,1.5,2.8,33.0,11
Don Adams,523,10.7,0.451,0.001,0.283,6.2,13.8,10.6,10.0,2.1,0.5,16.7,16.9,-2.8,14.5,11.7,0.042,-2.4,0.5,-2.0,0.0,12
Michael Adams,653,16.6,0.536,0.364,0.324,2.1,8.1,5.0,28.2,2.5,0.2,13.5,20.2,31.6,15.3,46.9,0.11,2.0,-0.2,1.9,19.9,13
Steven Adams,764,17.1,0.589,0.004,0.445,15.1,18.3,16.7,8.0,1.6,3.0,15.9,14.6,34.3,27.3,61.6,0.15,0.2,0.3,0.5,12.5,14
Rafael Addison,379,10.5,0.496,0.12,0.175,5.2,10.4,7.8,9.1,1.3,1.0,11.4,18.7,1.7,3.2,4.9,0.041,-2.6,-1.1,-3.8,-2.5,15
Bam Adebayo,567,19.8,0.592,0.051,0.407,8.2,24.2,16.3,19.1,1.7,2.8,13.9,22.4,29.5,28.1,57.6,0.159,1.0,1.6,2.5,19.9,16
Rick Adelman,462,11.3,0.467,,0.344,2.5,7.6,4.7,20.0,2.8,0.3,,,1.9,8.1,10.0,0.046,-3.0,1.6,-1.4,0.3,17
Jeff Adrien,153,15.0,0.518,0.004,0.517,11.5,23.9,17.5,7.5,1.2,2.9,11.7,16.3,2.5,1.9,4.4,0.098,-1.3,-0.9,-2.2,-0.1,18
Arron Afflalo,762,11.9,0.556,0.332,0.252,1.9,10.0,5.9,10.6,0.8,0.5,10.4,17.8,23.9,9.6,33.5,0.077,-0.5,-1.0,-1.5,2.4,19
Maurice Ager,82,2.8,0.398,0.233,0.28,1.9,8.8,5.4,6.1,0.6,0.9,12.0,22.1,-1.3,0.3,-0.9,-0.089,-6.9,-2.5,-9.4,-0.9,20
Mark Aguirre,923,19.0,0.542,0.085,0.333,6.9,11.6,9.2,16.9,1.2,0.6,11.9,29.1,46.5,21.3,67.8,0.117,2.6,-1.1,1.5,24.4,21
Blake Ahearn,19,7.2,0.481,0.61,0.429,0.5,11.2,5.8,15.5,1.7,0.0,19.4,23.6,-0.3,0.1,-0.2,-0.034,-4.6,-1.8,-6.4,-0.2,22
Danny Ainge,1042,14.7,0.555,0.268,0.2,2.9,8.1,5.6,20.8,2.0,0.3,12.7,18.5,45.7,25.9,71.5,0.124,0.8,0.3,1.1,21.9,23
Alexis Ajinça,293,14.9,0.546,0.033,0.246,9.9,23.5,16.6,5.9,1.3,3.7,14.9,19.3,2.9,4.6,7.5,0.093,-2.9,0.1,-2.8,-0.8,24
Mark Alarie,325,13.0,0.514,0.062,0.191,8.4,13.8,11.0,9.3,1.1,1.1,11.5,19.6,3.9,4.5,8.4,0.073,-1.4,-1.0,-2.3,-0.5,25
Cole Aldrich,339,16.6,0.563,0.0,0.296,11.2,27.0,19.0,8.6,2.1,5.6,17.6,15.2,3.8,5.8,9.6,0.135,-1.6,1.7,0.1,1.8,26
LaMarcus Aldridge,1076,20.7,0.544,0.042,0.27,8.8,18.8,13.8,10.2,1.1,2.6,8.0,25.7,72.9,42.8,115.6,0.153,2.0,-0.3,1.7,33.4,27
Cory Alexander,307,12.4,0.504,0.444,0.233,1.8,9.8,5.7,28.6,2.9,0.6,21.9,20.1,-0.3,3.3,3.0,0.03,-1.4,-0.3,-1.7,0.4,28
Victor Alexander,286,13.7,0.541,0.03,0.239,8.6,17.9,13.3,6.7,1.1,1.9,13.9,19.5,3.9,4.9,8.8,0.073,-1.5,-0.7,-2.2,-0.3,29
Nickeil Alexander-Walker,381,11.2,0.534,0.545,0.159,2.3,10.8,6.6,15.7,1.6,1.7,12.7,18.9,1.8,8.5,10.2,0.062,-1.4,0.2,-1.2,1.6,30
Grayson Allen,403,12.8,0.62,0.657,0.209,2.2,10.4,6.4,10.8,1.4,1.0,10.4,16.0,14.3,8.3,22.6,0.106,0.2,-0.2,0.0,5.1,31
Jarrett Allen,568,20.6,0.67,0.026,0.447,11.2,24.5,17.9,8.9,1.1,3.7,12.4,16.8,42.0,24.8,66.7,0.2,1.5,0.9,2.4,17.7,32
Lavoy Allen,388,12.5,0.491,0.009,0.158,11.4,18.2,14.8,8.4,0.9,2.5,12.0,13.9,5.7,8.1,13.8,0.096,-2.0,0.0,-2.1,-0.1,33
Lucius Allen,702,15.5,0.504,,0.257,3.2,7.4,5.4,21.5,2.2,0.5,17.9,20.5,22.6,19.4,42.0,0.1,0.2,-0.2,0.1,6.3,34
Malik Allen,478,9.9,0.465,0.007,0.137,7.4,14.3,10.8,5.3,0.9,2.4,11.3,17.9,-1.6,8.2,6.6,0.044,-3.6,-0.2,-3.8,-3.3,35
Ray Allen,1300,18.6,0.58,0.392,0.26,3.2,10.3,6.8,16.5,1.7,0.4,11.4,23.8,111.7,33.4,145.1,0.15,3.6,-0.7,2.9,57.6,36
Tony Allen,820,14.2,0.529,0.082,0.35,6.6,12.1,9.4,9.6,3.4,1.5,15.1,18.7,9.1,29.6,38.7,0.103,-1.6,1.9,0.3,10.4,37
Morris Almond,38,7.0,0.463,0.212,0.31,3.3,11.8,7.5,4.9,1.7,0.9,12.9,18.3,-0.3,0.3,0.0,0.005,-5.3,-0.8,-6.1,-0.4,38
Rafer Alston,671,13.2,0.49,0.44,0.194,1.5,9.7,5.6,27.4,2.2,0.4,14.7,19.4,10.3,22.6,32.9,0.081,-0.5,0.4,0.0,9.6,39
John Amaechi,294,8.9,0.464,0.008,0.462,5.5,12.9,9.2,7.6,1.0,1.5,16.3,21.6,-3.8,4.2,0.5,0.005,-4.0,-1.5,-5.5,-4.2,40
Al-Farouq Aminu,711,12.2,0.517,0.352,0.263,6.2,20.9,13.6,7.3,2.0,1.8,14.3,15.2,6.8,20.7,27.6,0.075,-1.2,0.7,-0.6,6.5,41
Lou Amundson,428,12.0,0.479,0.002,0.441,13.6,18.4,16.0,5.2,1.4,4.2,15.5,15.7,0.9,6.1,6.9,0.06,-3.3,-0.2,-3.5,-2.1,42
Chris Andersen,695,16.7,0.581,0.027,0.65,11.3,22.1,16.7,4.4,1.3,6.3,13.7,13.9,20.2,19.5,39.7,0.155,-0.4,1.4,0.9,9.1,43
Alan Anderson,330,10.3,0.526,0.462,0.238,2.6,9.7,6.1,8.8,1.4,0.4,11.2,17.6,3.7,3.7,7.4,0.052,-1.7,-0.9,-2.5,-0.9,44
Derek Anderson,615,15.3,0.534,0.319,0.371,2.9,10.0,6.5,19.6,2.1,0.4,13.2,20.4,28.0,15.9,43.9,0.117,0.8,0.2,1.0,13.5,45
Greg Anderson,680,13.0,0.513,0.006,0.408,10.9,22.9,16.7,4.0,1.7,2.7,16.1,16.8,1.8,16.9,18.7,0.064,-2.6,-0.5,-3.0,-3.7,46
James Anderson,247,9.9,0.516,0.479,0.183,2.7,11.7,7.1,10.0,1.4,1.0,13.5,16.0,0.9,2.4,3.3,0.037,-1.9,-0.8,-2.7,-0.8,47
Justin Anderson,242,12.4,0.522,0.493,0.253,4.7,16.3,10.4,8.4,1.6,2.1,10.3,18.4,1.4,3.5,4.9,0.072,-1.4,-0.1,-1.5,0.4,48
