player,1st,2nd,3rd
Nikola Jokić,4,2,0
Giannis Antetokounmpo,6,2,0
Jayson Tatum,3,0,1
Luka Dončić,5,0,0
Shai Gilgeous-Alexander,2,0,0
Anthony Davis,4,1,0
Kevin Durant,6,5,0
Kawhi Leonard,3,3,0
Jalen Brunson,0,1,0
Anthony Edwards,0,1,0
LeBron James,13,3,4
Domantas Sabonis,0,0,2
Devin Booker,1,0,1
Stephen Curry,4,4,2
Tyrese Haliburton,0,0,1
Joel Embiid,1,4,0
Jimmy Butler,0,1,4
Jaylen Brown,0,1,0
Donovan Mitchell,0,1,0
Julius Randle,0,1,1
De'Aaron Fox,0,0,1
Damian Lillard,1,4,2
DeMar DeRozan,0,2,1
Ja Morant,0,1,0
Karl-Anthony Towns,0,0,2
Pascal Siakam,0,1,1
Chris Paul,4,5,2
Trae Young,0,0,1
Rudy Gobert,0,1,3
Paul George,1,0,5
Bradley Beal,0,0,1
Kyrie Irving,0,1,2
James Harden,6,0,1
Ben Simmons,0,0,1
Russell Westbrook,2,5,2
Blake Griffin,0,3,2
Kemba Walker,0,0,1
LaMarcus Aldridge,0,2,3
Victor Oladipo,0,0,1
Isaiah Thomas,0,1,0
DeAndre Jordan,1,0,2
Draymond Green,0,1,1
John Wall,0,0,1
DeMarcus Cousins,0,2,0
Andre Drummond,0,0,1
Klay Thompson,0,0,2
Kyle Lowry,0,0,1
Marc Gasol,1,1,0
Pau Gasol,0,2,2
Tim Duncan,10,3,2
Joakim Noah,1,0,0
Dwight Howard,5,1,2
Kevin Love,0,2,0
Tony Parker,0,3,1
Al Jefferson,0,0,1
Goran Dragić,0,0,1
Kobe Bryant,11,2,2
Carmelo Anthony,0,2,4
David Lee,0,0,1
Dwyane Wade,2,3,3
Andrew Bynum,0,1,0
Tyson Chandler,0,0,1
Dirk Nowitzki,4,5,3
Rajon Rondo,0,0,1
Derrick Rose,1,0,0
Amar'e Stoudemire,1,4,0
Al Horford,0,0,1
Zach Randolph,0,0,1
Manu Ginóbili,0,0,2
Steve Nash,3,2,2
Deron Williams,0,2,0
Andrew Bogut,0,0,1
Joe Johnson,0,0,1
Brandon Roy,0,1,1
Yao Ming,0,2,3
Paul Pierce,0,1,3
Shaquille O'Neal,8,2,4
Chauncey Billups,0,1,2
Kevin Garnett,4,3,2
Carlos Boozer,0,0,1
Tracy McGrady,2,3,2
Chris Bosh,0,1,0
Gilbert Arenas,0,1,2
Ben Wallace,0,3,2
Elton Brand,0,1,0
Shawn Marion,0,0,2
Allen Iverson,3,3,1
Ray Allen,0,1,1
Jason Kidd,5,1,0
Jermaine O'Neal,0,1,2
Peja Stojaković,0,1,0
Sam Cassell,0,1,0
Metta World Peace,0,0,1
Baron Davis,0,0,1
Michael Redd,0,0,1
Chris Webber,1,3,1
Jamal Mashburn,0,0,1
Stephon Marbury,0,0,2
Gary Payton,2,5,2
Dikembe Mutombo,0,1,2
Vince Carter,0,1,1
David Robinson,4,2,4
Karl Malone,11,2,1
Alonzo Mourning,1,1,0
Grant Hill,1,4,0
Eddie Jones,0,0,1
Tim Hardaway,1,3,1
Hakeem Olajuwon,6,3,3
Antonio McDyess,0,0,1
John Stockton,2,6,3
Michael Jordan,10,1,0
Vin Baker,0,1,1
Rod Strickland,0,1,0
Scottie Pippen,3,2,2
Glen Rice,0,1,1
Reggie Miller,0,0,3
Mitch Richmond,0,3,2
Patrick Ewing,1,6,0
Anthony Mason,0,0,1
Anfernee Hardaway,2,0,1
Shawn Kemp,0,3,0
Charles Barkley,5,5,1
Juwan Howard,0,0,1
Dennis Rodman,0,0,2
Detlef Schrempf,0,0,1
Clyde Drexler,1,2,2
Latrell Sprewell,1,0,0
Kevin Johnson,0,4,1
Derrick Coleman,0,0,2
Dominique Wilkins,1,4,2
Mark Price,1,0,3
Larry Johnson,0,1,0
Joe Dumars,0,1,2
Dražen Petrović,0,0,1
Chris Mullin,1,2,1
Brad Daugherty,0,0,1
Kevin Willis,0,0,1
Magic Johnson,9,1,0
Bernard King,2,1,1
James Worthy,0,0,2
Larry Bird,9,1,0
Tom Chambers,0,2,0
Robert Parish,0,1,1
Terry Cummings,0,1,1
Dale Ellis,0,0,1
Kevin McHale,1,0,0
Moses Malone,4,4,0
Fat Lever,0,1,0
Isiah Thomas,3,2,0
Kareem Abdul-Jabbar,10,5,0
Alex English,0,3,0
Sidney Moncrief,1,4,0
Alvin Robertson,0,1,0
Ralph Sampson,0,1,0
Adrian Dantley,0,2,0
Julius Erving,9,3,0
Jim Paxson,0,1,0
Buck Williams,0,1,0
George Gervin,5,4,0
Gus Williams,1,1,0
Dennis Johnson,1,1,0
Marques Johnson,1,2,0
Tiny Archibald,3,2,0
Otis Birdsong,0,1,0
Paul Westphal,3,1,0
