player,finals_mvp_count,league
Michael Jordan,6,NBA
LeBron James,4,NBA
Tim Duncan,3,NBA
Magic Johnson,3,NBA
Shaquille O'Neal,3,NBA
Kareem Abdul-Jabbar,2,NBA
Larry Bird,2,NBA
Kobe Bryant,2,NBA
Kevin Durant,2,NBA
Kawhi Leonard,2,NBA
Hakeem Olajuwon,2,NBA
Willis Reed,2,NBA
Giannis Antetokounmpo,1,NBA
Rick Barry,1,NBA
Chauncey Billups,1,NBA
Jaylen Brown,1,NBA
Wilt Chamberlain,1,NBA
Stephen Curry,1,NBA
Joe Dumars,1,NBA
John Havlicek,1,NBA
Andre Iguodala,1,NBA
Dennis Johnson,1,NBA
Nikola Jokić,1,NBA
Moses Malone,1,NBA
Cedric Maxwell,1,NBA
Dirk Nowitzki,1,NBA
Tony Parker,1,NBA
Paul Pierce,1,NBA
Isiah Thomas,1,NBA
Wes Unseld,1,NBA
Dwyane Wade,1,NBA
Bill Walton,1,NBA
Jerry West,1,NBA
Jo Jo White,1,NBA
James Worthy,1,NBA
