games,fg,fga,fg_pct,fg3,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,tpl_dbl,id,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,name,start_year,end_year,pos,height,weight,hof,1st,2nd,3rd,asg_selections,asg_mvp_count,dpoy_count,finals_mvp_count,mvp_count
256,620,1236,0.502,0.0,0.0,225,321,0.701,283.0,563.0,846,85,71.0,69.0,247.0,484,1465,0,1,13.0,0.532,0.002,0.26,10.0,19.6,14.8,4.1,1.1,1.4,15.2,21.6,0.7,4.1,4.8,0.072,-2.9,-0.9,-3.8,-1.5,Alaa Abdelnaby,1991,1995,F-C,6-10,240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560,15837,28307,0.559,1.0,0.056,6712,9304,0.721,2975.0,9394.0,17440,5660,1160.0,3189.0,2527.0,4657,38387,21,3,24.6,0.592,0.001,0.329,7.7,21.7,15.7,14.6,1.2,3.8,13.4,24.3,178.9,94.5,273.4,0.228,4.1,1.6,5.7,85.7,Kareem Abdul-Jabbar,1970,1989,C,7-2,225,1,10.0,5.0,0.0,19.0,0.0,0.0,2.0,6.0
586,3514,7943,0.442,474.0,0.354,1051,1161,0.905,219.0,868.0,1087,2079,487.0,46.0,963.0,1106,8553,0,4,15.4,0.506,0.169,0.146,1.5,6.2,3.8,23.0,1.6,0.2,10.2,25.4,16.7,8.4,25.2,0.077,0.7,-1.5,-0.8,4.5,Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,720,1726,0.417,18.0,0.237,372,529,0.703,286.0,490.0,776,266,184.0,83.0,309.0,485,1830,0,5,11.4,0.467,0.044,0.306,6.4,11.2,8.8,8.8,1.9,1.2,13.6,20.4,-0.6,4.1,3.5,0.035,-2.6,-0.4,-3.0,-1.2,Tariq Abdul-Wahad,1998,2003,F,6-6,223,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830,5434,11515,0.472,154.0,0.297,4006,4943,0.81,1869.0,4370.0,6239,2109,820.0,638.0,2136.0,2324,15028,1,6,19.0,0.549,0.045,0.429,7.5,17.5,12.5,13.6,1.5,1.6,13.5,25.0,50.1,21.1,71.2,0.118,1.7,-0.7,1.0,21.9,Shareef Abdur-Rahim,1997,2008,F,6-9,225,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
319,724,1472,0.492,0.0,0.0,331,443,0.747,374.0,637.0,1011,384,185.0,60.0,129.0,525,1779,0,7,12.9,0.534,0.001,0.301,7.3,12.3,9.8,9.0,1.6,0.6,9.3,13.7,8.4,5.0,13.4,0.118,0.0,0.1,0.2,3.0,Tom Abernethy,1977,1981,F,6-7,220,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,984,2031,0.484,121.0,0.304,331,546,0.606,611.0,1202.0,1813,313,181.0,209.0,314.0,568,2420,0,8,14.0,0.533,0.196,0.269,10.5,21.6,15.9,7.0,1.4,3.1,12.1,17.5,3.4,8.4,11.8,0.089,-2.0,-0.3,-2.3,-0.4,Precious Achiuwa,2021,2025,F,6-8,225,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375,514,1016,0.506,7.0,0.538,308,463,0.665,581.0,944.0,1525,180,137.0,104.0,235.0,932,1343,0,9,9.0,0.551,0.013,0.456,10.7,17.6,14.1,3.8,1.1,1.0,16.2,10.0,5.1,4.2,9.3,0.075,-2.9,-0.4,-3.3,-1.9,Mark Acres,1988,1993,F-C,6-11,220,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,583,1314,0.444,183.0,0.35,293,386,0.759,309.0,870.0,1179,217,140.0,135.0,219.0,665,1642,0,10,11.2,0.553,0.398,0.294,6.3,18.1,12.1,6.1,1.3,2.0,12.9,13.9,4.4,4.4,8.7,0.078,-2.0,-0.1,-2.0,-0.1,Quincy Acy,2013,2019,F-C,6-7,240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
988,5709,11464,0.498,2.0,0.133,2490,3160,0.788,2015.0,4922.0,6937,4012,1289.0,808.0,2194.0,3214,13910,12,11,18.3,0.541,0.001,0.276,8.3,19.7,14.1,21.4,2.2,1.6,17.8,22.0,29.8,43.6,73.5,0.13,1.3,1.5,2.8,33.0,Alvan Adams,1976,1988,C-F,6-9,210,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
