name,pos,games,games_started,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,tpl_dbl,awards
Alaa Abdelnaby,,256,53,3200,620,1236,.502,0,3,.000,620,1233,.503,.502,225,321,.701,283,563,846,85,71,69,247,484,1465,0,
Zaid Abdul-Aziz,,505,,11023,1769,4138,.428,,,,,,,,1019,1400,.728,503,1124,4065,601,131,205,14,1120,4557,0,
Kareem Abdul-Jabbar,,1560,789,57446,15837,28307,.559,1,18,.056,15836,28289,.560,.559,6712,9304,.721,2975,9394,17440,5660,1160,3189,2527,4657,38387,21,
Mahmoud Abdul-Rauf,,586,336,15628,3514,7943,.442,474,1339,.354,3040,6604,.460,.472,1051,1161,.905,219,868,1087,2079,487,46,963,1106,8553,0,
Tariq Abdul-Wahad,,236,145,4807,720,1726,.417,18,76,.237,702,1650,.425,.422,372,529,.703,286,490,776,266,184,83,309,485,1830,0,
Shareef Abdur-Rahim,,830,704,28882,5434,11515,.472,154,519,.297,5280,10996,.480,.479,4006,4943,.810,1869,4370,6239,2109,820,638,2136,2324,15028,1,
Tom Abernethy,,319,0,5434,724,1472,.492,0,2,.000,724,1470,.493,.492,331,443,.747,374,637,1011,384,185,60,129,525,1779,0,
Precious Achiuwa,,320,72,6396,984,2031,.484,121,398,.304,863,1633,.528,.514,331,546,.606,611,1202,1813,313,181,209,314,568,2420,0,
Mark Acres,,375,68,5982,514,1016,.506,7,13,.538,507,1003,.505,.509,308,463,.665,581,944,1525,180,137,104,235,932,1343,0,
Quincy Acy,,337,60,5392,583,1314,.444,183,523,.350,400,791,.506,.513,293,386,.759,309,870,1179,217,140,135,219,665,1642,0,
Alvan Adams,,988,342,27203,5709,11464,.498,2,15,.133,5707,11449,.498,.498,2490,3160,.788,2015,4922,6937,4012,1289,808,2194,3214,13910,12,
Don Adams,,523,,13474,1823,4535,.402,0,3,.000,1823,4532,.402,.402,952,1285,.741,429,963,2916,1011,334,64,79,1709,4598,0,
Michael Adams,,653,510,20446,3257,7849,.415,949,2857,.332,2308,4992,.462,.475,2158,2543,.849,416,1484,1900,4209,1081,67,1402,1193,9621,1,
Steven Adams,,764,644,19738,2804,4786,.586,1,17,.059,2803,4769,.588,.586,1134,2129,.533,2765,3350,6115,1145,646,703,1083,1808,6743,1,
Rafael Addison,,379,54,5697,920,2047,.449,69,245,.282,851,1802,.472,.466,277,359,.772,262,518,780,339,148,83,284,671,2186,0,
Bam Adebayo,,567,463,17354,3428,6389,.537,102,325,.314,3326,6064,.548,.545,1965,2598,.756,1266,3758,5024,2044,607,489,1218,1368,8923,8,
Rick Adelman,,462,,10427,1381,3330,.415,,,,,,,,817,1146,.713,41,123,1129,1606,106,9,,990,3579,0,
Jeff Adrien,,153,17,2148,264,557,.474,0,2,.000,264,555,.476,.474,181,288,.628,221,438,659,100,50,79,91,259,709,0,
Arron Afflalo,,762,537,20829,2983,6633,.450,852,2205,.386,2131,4428,.481,.514,1380,1673,.825,334,1842,2176,1386,341,141,852,1481,8198,0,
Maurice Ager,,82,4,505,64,189,.339,11,44,.250,53,145,.366,.368,30,53,.566,8,38,46,19,6,6,29,65,169,0,
Mark Aguirre,,923,639,27730,7201,14865,.484,392,1258,.312,6809,13607,.500,.498,3664,4944,.741,1704,2874,4578,2871,687,296,2306,2599,18458,2,
Blake Ahearn,,19,0,226,21,77,.273,14,47,.298,7,30,.233,.364,32,33,.970,1,21,22,22,7,0,22,27,88,0,
Danny Ainge,,1042,508,27755,4643,9905,.469,1002,2651,.378,3641,7254,.502,.519,1676,1980,.846,695,2073,2768,4199,1133,132,1566,2549,11964,1,
Alexis Ajinça,,293,76,3905,645,1283,.503,12,42,.286,633,1241,.510,.507,251,315,.797,346,804,1150,143,102,181,249,661,1553,0,
Mark Alarie,,325,41,5500,1037,2184,.475,34,135,.252,1003,2049,.490,.483,324,418,.775,438,682,1120,363,132,109,309,712,2432,0,
Cole Aldrich,,339,23,3389,435,825,.527,0,0,,435,825,.527,.527,180,244,.738,334,797,1131,183,137,233,199,509,1050,0,
LaMarcus Aldridge,,1076,997,36242,8311,16872,.493,227,710,.320,8084,16162,.500,.499,3709,4563,.813,2776,5960,8736,2076,758,1187,1643,2598,20558,0,
Cory Alexander,,307,35,4847,587,1508,.389,237,669,.354,350,839,.417,.468,266,352,.756,78,403,481,834,263,37,467,514,1677,0,
Victor Alexander,,286,155,5755,1101,2126,.518,18,63,.286,1083,2063,.525,.522,322,508,.634,446,938,1384,257,135,177,378,713,2542,0,
Nickeil Alexander-Walker,,381,68,7942,1180,2853,.414,560,1554,.360,620,1299,.477,.512,338,455,.743,163,785,948,882,256,150,446,618,3258,0,
Grayson Allen,,403,252,10227,1416,3140,.451,855,2064,.414,561,1076,.521,.587,563,657,.857,205,1011,1216,812,293,112,399,636,4250,0,
Jarrett Allen,,568,503,16020,2912,4542,.641,19,116,.164,2893,4426,.654,.643,1445,2030,.712,1619,3620,5239,948,371,703,767,1113,7288,0,
Lavoy Allen,,388,87,6905,828,1758,.471,2,15,.133,826,1743,.474,.472,189,277,.682,715,1128,1843,384,120,214,257,706,1847,0,
Lucius Allen,,702,,20159,3884,8385,.463,,,,,,,,1639,2157,.760,381,928,2205,3174,604,124,247,1799,9407,0,
Malik Allen,,478,125,7262,1039,2365,.439,3,16,.188,1036,2349,.441,.440,253,325,.778,466,887,1353,228,130,220,320,897,2334,0,
Ray Allen,,1300,1149,46344,8567,18955,.452,2973,7429,.400,5594,11526,.485,.530,4398,4920,.894,1230,4042,5272,4361,1451,244,2709,2858,24505,3,
Tony Allen,,820,441,18055,2588,5447,.475,125,444,.282,2463,5003,.492,.487,1353,1909,.709,1021,1863,2884,1077,1158,337,1118,1947,6654,0,
Morris Almond,,38,1,361,43,113,.381,7,24,.292,36,89,.404,.412,26,35,.743,10,36,46,12,12,4,19,42,119,0,
Rafer Alston,,671,452,19392,2450,6391,.383,996,2815,.354,1454,3576,.407,.461,903,1238,.729,247,1644,1891,3202,813,105,1195,1408,6799,1,
John Amaechi,,294,93,4811,663,1646,.403,1,13,.077,662,1633,.405,.403,510,760,.671,230,542,772,228,90,94,386,499,1837,0,
Al-Farouq Aminu,,711,445,17698,1948,4641,.420,543,1634,.332,1405,3007,.467,.478,911,1221,.746,982,3298,4280,879,678,397,863,1302,5350,0,
Lou Amundson,,428,42,5507,648,1368,.474,0,3,.000,648,1365,.475,.474,268,603,.444,644,897,1541,190,152,306,299,835,1564,0,
Chris Andersen,,695,45,12273,1336,2512,.532,15,68,.221,1321,2444,.541,.535,1068,1632,.654,1176,2317,3493,337,312,991,513,1342,3755,0,
Alan Anderson,,330,66,6793,843,2084,.405,331,963,.344,512,1121,.457,.484,404,495,.816,151,563,714,371,182,31,290,602,2421,0,
Derek Anderson,,615,390,17975,2419,5922,.408,645,1891,.341,1774,4031,.440,.463,1874,2198,.853,440,1548,1988,2083,691,87,1052,1230,7357,1,
Greg Anderson,,680,315,14040,2011,4090,.492,2,23,.087,2009,4067,.494,.492,929,1668,.557,1432,2814,4246,385,480,590,926,1741,4953,0,
James Anderson,,247,83,4320,525,1276,.411,196,611,.321,329,665,.495,.488,176,233,.755,108,452,560,291,121,55,216,292,1422,0,
Justin Anderson,,242,30,3280,454,1106,.410,159,545,.292,295,561,.526,.482,217,280,.775,141,480,621,184,105,80,141,291,1284,0,
Kenny Anderson,,858,693,25868,4002,9512,.421,547,1580,.346,3455,7932,.436,.449,2238,2833,.790,670,1971,2641,5196,1258,111,1769,1974,10789,5,
Kyle Anderson,,714,308,15324,1910,3996,.478,291,857,.340,1619,3139,.516,.514,765,1069,.716,553,2514,3067,1978,699,441,714,1108,4876,4,
Nick Anderson,,800,636,24922,4416,9891,.446,1055,2964,.356,3361,6927,.485,.500,1642,2461,.667,1011,3053,4064,2087,1114,364,1358,1502,11529,1,
Richard Anderson,,407,30,6002,909,2206,.412,148,445,.333,761,1761,.432,.446,294,386,.762,457,961,1418,611,225,94,362,691,2260,0,
Ron Anderson,,664,79,15112,2936,6239,.471,105,366,.287,2831,5873,.482,.479,1079,1325,.814,856,1456,2312,952,470,90,730,1019,7056,0,
Ryan Anderson,,649,289,16769,2755,6533,.422,1325,3491,.380,1430,3042,.470,.523,1166,1366,.854,1247,2166,3413,586,332,217,606,1263,8001,0,
Shandon Anderson,,719,226,15946,1996,4366,.457,307,972,.316,1689,3394,.498,.492,1028,1392,.739,583,1669,2252,1007,556,180,958,1437,5327,0,
Willie Anderson,,555,432,15974,2804,5952,.471,99,372,.266,2705,5580,.485,.479,1064,1353,.786,550,1532,2082,2105,594,342,1163,1500,6771,1,
Giannis Antetokounmpo,,859,794,28234,7525,13668,.551,542,1908,.284,6983,11760,.594,.570,4946,7134,.693,1599,6931,8530,4288,961,1064,2586,2531,20538,56,
Thanasis Antetokounmpo,,198,11,1520,200,393,.509,9,63,.143,191,330,.579,.520,72,136,.529,128,179,307,115,55,31,107,208,481,0,
Carmelo Anthony,,1260,1120,43514,10119,22643,.447,1731,4873,.355,8388,17770,.472,.485,6320,7764,.814,1983,5825,7808,3422,1223,644,3052,3543,28289,2,
Cole Anthony,,320,125,7935,1415,3380,.419,435,1262,.345,980,2118,.463,.483,750,885,.847,227,1145,1372,1223,222,135,596,753,4015,0,
Greg Anthony,,757,227,15850,1914,4750,.403,610,1748,.349,1304,3002,.434,.467,1059,1445,.733,271,1146,1417,2997,887,79,1043,1324,5497,0,
Joel Anthony,,490,110,7056,398,776,.513,0,0,,398,776,.513,.513,268,405,.662,562,791,1353,99,127,531,227,819,1064,0,
OG Anunoby,,492,418,14854,2382,5021,.474,863,2299,.375,1519,2722,.558,.560,706,928,.761,549,1595,2144,831,637,289,649,1173,6333,0,
Tiny Archibald,,876,268,31159,5899,12628,.467,19,85,.224,5880,12543,.469,.468,4664,5760,.810,344,1015,2046,6476,719,81,1123,2002,16481,0,
Ryan Arcidiacono,,257,40,3938,358,851,.421,181,491,.369,177,360,.492,.527,134,166,.807,53,399,452,487,122,7,135,359,1031,0,
Jim Ard,,431,,5766,752,1870,.402,4,17,.235,748,1853,.404,.403,401,606,.662,573,1259,1832,278,59,121,291,747,1909,0,
Gilbert Arenas,,552,455,19351,3722,8850,.421,1079,3077,.351,2643,5773,.458,.482,2879,3584,.803,444,1724,2168,2909,884,134,1744,1683,11402,4,
Trevor Ariza,,1118,769,32953,4135,9804,.422,1605,4579,.351,2530,5225,.484,.504,1718,2350,.731,1081,4275,5356,2379,1628,355,1473,2205,11593,1,
Paul Arizin,,713,,24897,5628,13354,.421,,,,,,,,5010,6189,.810,,,6129,1665,,,,2764,16266,0,
B.J. Armstrong,,747,341,17790,2850,5981,.477,436,1026,.425,2414,4955,.487,.513,1184,1383,.856,192,1129,1321,2479,533,47,889,1128,7320,0,
Darrell Armstrong,,840,337,19915,2663,6507,.409,923,2763,.334,1740,3744,.465,.480,1463,1679,.871,654,1615,2269,3394,1133,98,1556,1398,7712,0,
Hilton Armstrong,,292,40,3378,347,693,.501,2,7,.286,345,686,.503,.502,184,316,.582,292,474,766,102,90,142,230,544,880,0,
Bob Arnzen,,111,1,952,191,411,.465,1,5,.200,190,406,.468,.466,60,75,.800,33,32,217,35,4,3,16,88,443,0,
Carlos Arroyo,,569,191,10651,1431,3269,.438,137,405,.338,1294,2864,.452,.459,771,956,.806,210,755,965,1761,290,26,680,874,3770,0,
Darrell Arthur,,503,106,8945,1381,3110,.444,161,458,.352,1220,2652,.460,.470,359,469,.765,547,1221,1768,409,309,307,422,1234,3282,0,
Ömer Aşık,,471,262,9216,947,1795,.528,0,1,.000,947,1794,.528,.528,585,1062,.551,1036,2326,3362,280,167,339,542,928,2479,0,
Vincent Askew,,467,27,9361,1215,2534,.479,76,253,.300,1139,2281,.499,.494,805,1068,.754,400,776,1176,1017,304,106,503,972,3311,0,
Keith Askins,,486,80,7983,677,1688,.401,275,774,.355,402,914,.440,.483,223,311,.717,525,903,1428,375,278,170,321,1094,1852,0,
Chucky Atkins,,696,325,17304,2479,6022,.412,934,2565,.364,1545,3457,.447,.489,971,1258,.772,194,992,1186,2396,465,36,1018,1284,6863,0,
Al Attles,,711,,17826,2499,5545,.451,,,,,,,,1330,2106,.632,,,2463,2483,,,,2417,6328,1,
Stacey Augmon,,1001,472,21658,3037,6480,.469,12,79,.152,3025,6401,.473,.470,1904,2616,.728,1304,1912,3216,1561,974,317,1248,1750,7990,0,
D.J. Augustin,,976,334,22851,2994,7270,.412,1262,3311,.381,1732,3959,.437,.499,2009,2317,.867,292,1513,1805,3761,567,32,1428,1350,9259,0,
Isaac Austin,,432,166,8350,1295,2901,.446,9,51,.176,1286,2850,.451,.448,686,1024,.670,617,1413,2030,538,214,226,701,967,3285,0,
Deni Avdija,,359,209,9679,1441,3117,.462,417,1236,.337,1024,1881,.544,.529,746,991,.753,342,1894,2236,1008,287,159,599,895,4045,2,
Anthony Avent,,352,156,6729,814,2019,.403,0,2,.000,814,2017,.404,.403,330,481,.686,560,1024,1584,278,166,211,416,824,1958,0,
