name,games,fg,fga,fg_pct,fg3,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,tpl_dbl,id
Alaa Abdelnaby,256,620,1236,0.502,0.0,0.0,225,321,0.701,283.0,563.0,846,85,71.0,69.0,247.0,484,1465,0,1
Zaid Abdul-Aziz,505,1769,4138,0.428,,,1019,1400,0.728,503.0,1124.0,4065,601,131.0,205.0,14.0,1120,4557,0,2
Kareem Abdul-Jabbar,1560,15837,28307,0.559,1.0,0.056,6712,9304,0.721,2975.0,9394.0,17440,5660,1160.0,3189.0,2527.0,4657,38387,21,3
Mahmoud Abdul-Rauf,586,3514,7943,0.442,474.0,0.354,1051,1161,0.905,219.0,868.0,1087,2079,487.0,46.0,963.0,1106,8553,0,4
Tariq Abdul-Wahad,236,720,1726,0.417,18.0,0.237,372,529,0.703,286.0,490.0,776,266,184.0,83.0,309.0,485,1830,0,5
Shareef Abdur-Rahim,830,5434,11515,0.472,154.0,0.297,4006,4943,0.81,1869.0,4370.0,6239,2109,820.0,638.0,2136.0,2324,15028,1,6
Tom Abernethy,319,724,1472,0.492,0.0,0.0,331,443,0.747,374.0,637.0,1011,384,185.0,60.0,129.0,525,1779,0,7
Precious Achiuwa,320,984,2031,0.484,121.0,0.304,331,546,0.606,611.0,1202.0,1813,313,181.0,209.0,314.0,568,2420,0,8
Mark Acres,375,514,1016,0.506,7.0,0.538,308,463,0.665,581.0,944.0,1525,180,137.0,104.0,235.0,932,1343,0,9
Quincy Acy,337,583,1314,0.444,183.0,0.35,293,386,0.759,309.0,870.0,1179,217,140.0,135.0,219.0,665,1642,0,10
Alvan Adams,988,5709,11464,0.498,2.0,0.133,2490,3160,0.788,2015.0,4922.0,6937,4012,1289.0,808.0,2194.0,3214,13910,12,11
Don Adams,523,1823,4535,0.402,0.0,0.0,952,1285,0.741,429.0,963.0,2916,1011,334.0,64.0,79.0,1709,4598,0,12
Michael Adams,653,3257,7849,0.415,949.0,0.332,2158,2543,0.849,416.0,1484.0,1900,4209,1081.0,67.0,1402.0,1193,9621,1,13
Steven Adams,764,2804,4786,0.586,1.0,0.059,1134,2129,0.533,2765.0,3350.0,6115,1145,646.0,703.0,1083.0,1808,6743,1,14
Rafael Addison,379,920,2047,0.449,69.0,0.282,277,359,0.772,262.0,518.0,780,339,148.0,83.0,284.0,671,2186,0,15
Bam Adebayo,567,3428,6389,0.537,102.0,0.314,1965,2598,0.756,1266.0,3758.0,5024,2044,607.0,489.0,1218.0,1368,8923,8,16
Rick Adelman,462,1381,3330,0.415,,,817,1146,0.713,41.0,123.0,1129,1606,106.0,9.0,,990,3579,0,17
Jeff Adrien,153,264,557,0.474,0.0,0.0,181,288,0.628,221.0,438.0,659,100,50.0,79.0,91.0,259,709,0,18
Arron Afflalo,762,2983,6633,0.45,852.0,0.386,1380,1673,0.825,334.0,1842.0,2176,1386,341.0,141.0,852.0,1481,8198,0,19
Maurice Ager,82,64,189,0.339,11.0,0.25,30,53,0.566,8.0,38.0,46,19,6.0,6.0,29.0,65,169,0,20
Mark Aguirre,923,7201,14865,0.484,392.0,0.312,3664,4944,0.741,1704.0,2874.0,4578,2871,687.0,296.0,2306.0,2599,18458,2,21
Blake Ahearn,19,21,77,0.273,14.0,0.298,32,33,0.97,1.0,21.0,22,22,7.0,0.0,22.0,27,88,0,22
Danny Ainge,1042,4643,9905,0.469,1002.0,0.378,1676,1980,0.846,695.0,2073.0,2768,4199,1133.0,132.0,1566.0,2549,11964,1,23
Alexis Ajinça,293,645,1283,0.503,12.0,0.286,251,315,0.797,346.0,804.0,1150,143,102.0,181.0,249.0,661,1553,0,24
Mark Alarie,325,1037,2184,0.475,34.0,0.252,324,418,0.775,438.0,682.0,1120,363,132.0,109.0,309.0,712,2432,0,25
Cole Aldrich,339,435,825,0.527,0.0,,180,244,0.738,334.0,797.0,1131,183,137.0,233.0,199.0,509,1050,0,26
LaMarcus Aldridge,1076,8311,16872,0.493,227.0,0.32,3709,4563,0.813,2776.0,5960.0,8736,2076,758.0,1187.0,1643.0,2598,20558,0,27
Cory Alexander,307,587,1508,0.389,237.0,0.354,266,352,0.756,78.0,403.0,481,834,263.0,37.0,467.0,514,1677,0,28
Victor Alexander,286,1101,2126,0.518,18.0,0.286,322,508,0.634,446.0,938.0,1384,257,135.0,177.0,378.0,713,2542,0,29
Nickeil Alexander-Walker,381,1180,2853,0.414,560.0,0.36,338,455,0.743,163.0,785.0,948,882,256.0,150.0,446.0,618,3258,0,30
Grayson Allen,403,1416,3140,0.451,855.0,0.414,563,657,0.857,205.0,1011.0,1216,812,293.0,112.0,399.0,636,4250,0,31
Jarrett Allen,568,2912,4542,0.641,19.0,0.164,1445,2030,0.712,1619.0,3620.0,5239,948,371.0,703.0,767.0,1113,7288,0,32
Lavoy Allen,388,828,1758,0.471,2.0,0.133,189,277,0.682,715.0,1128.0,1843,384,120.0,214.0,257.0,706,1847,0,33
Lucius Allen,702,3884,8385,0.463,,,1639,2157,0.76,381.0,928.0,2205,3174,604.0,124.0,247.0,1799,9407,0,34
Malik Allen,478,1039,2365,0.439,3.0,0.188,253,325,0.778,466.0,887.0,1353,228,130.0,220.0,320.0,897,2334,0,35
Ray Allen,1300,8567,18955,0.452,2973.0,0.4,4398,4920,0.894,1230.0,4042.0,5272,4361,1451.0,244.0,2709.0,2858,24505,3,36
Tony Allen,820,2588,5447,0.475,125.0,0.282,1353,1909,0.709,1021.0,1863.0,2884,1077,1158.0,337.0,1118.0,1947,6654,0,37
Morris Almond,38,43,113,0.381,7.0,0.292,26,35,0.743,10.0,36.0,46,12,12.0,4.0,19.0,42,119,0,38
Rafer Alston,671,2450,6391,0.383,996.0,0.354,903,1238,0.729,247.0,1644.0,1891,3202,813.0,105.0,1195.0,1408,6799,1,39
John Amaechi,294,663,1646,0.403,1.0,0.077,510,760,0.671,230.0,542.0,772,228,90.0,94.0,386.0,499,1837,0,40
Al-Farouq Aminu,711,1948,4641,0.42,543.0,0.332,911,1221,0.746,982.0,3298.0,4280,879,678.0,397.0,863.0,1302,5350,0,41
Lou Amundson,428,648,1368,0.474,0.0,0.0,268,603,0.444,644.0,897.0,1541,190,152.0,306.0,299.0,835,1564,0,42
